GEO.id,GEO.id2,GEO.display-label,respop72018
0500000US06099,06099,"Stanislaus County, California",549815
0500000US06101,06101,"Sutter County, California",96807
0500000US06103,06103,"Tehama County, California",63916
0500000US06105,06105,"Trinity County, California",12535
0500000US06107,06107,"Tulare County, California",465861
0500000US06109,06109,"Tuolumne County, California",54539
0500000US06111,06111,"Ventura County, California",850967
0500000US06113,06113,"Yolo County, California",220408
0500000US06115,06115,"Yuba County, California",78041
0500000US08001,08001,"Adams County, Colorado",511868
0500000US08003,08003,"Alamosa County, Colorado",16683
0500000US08005,08005,"Arapahoe County, Colorado",651215
0500000US08007,08007,"Archuleta County, Colorado",13765
0500000US08009,08009,"Baca County, Colorado",3585
0500000US08011,08011,"Bent County, Colorado",5882
0500000US08013,08013,"Boulder County, Colorado",326078
0500000US08014,08014,"Broomfield County, Colorado",69267
0500000US08015,08015,"Chaffee County, Colorado",20027
0500000US08017,08017,"Cheyenne County, Colorado",1876
0500000US08019,08019,"Clear Creek County, Colorado",9605
0500000US08021,08021,"Conejos County, Colorado",8200
0500000US08023,08023,"Costilla County, Colorado",3828
0500000US08025,08025,"Crowley County, Colorado",5858
0500000US08027,08027,"Custer County, Colorado",4954
0500000US08029,08029,"Delta County, Colorado",30953
0500000US08031,08031,"Denver County, Colorado",716492
0500000US08033,08033,"Dolores County, Colorado",2074
0500000US08035,08035,"Douglas County, Colorado",342776
0500000US08037,08037,"Eagle County, Colorado",54993
0500000US08039,08039,"Elbert County, Colorado",26282
0500000US08041,08041,"El Paso County, Colorado",713856
0500000US08043,08043,"Fremont County, Colorado",48021
0500000US08045,08045,"Garfield County, Colorado",59770
0500000US08047,08047,"Gilpin County, Colorado",6121
0500000US08049,08049,"Grand County, Colorado",15525
0500000US08051,08051,"Gunnison County, Colorado",17246
0500000US08053,08053,"Hinsdale County, Colorado",811
0500000US08055,08055,"Huerfano County, Colorado",6889
0500000US08057,08057,"Jackson County, Colorado",1399
0500000US08059,08059,"Jefferson County, Colorado",580233
0500000US08061,08061,"Kiowa County, Colorado",1383
0500000US08063,08063,"Kit Carson County, Colorado",7163
0500000US08065,08065,"Lake County, Colorado",7824
0500000US08067,08067,"La Plata County, Colorado",56310
0500000US08069,08069,"Larimer County, Colorado",350518
0500000US08071,08071,"Las Animas County, Colorado",14503
0500000US08073,08073,"Lincoln County, Colorado",5610
0500000US08075,08075,"Logan County, Colorado",21528
0500000US08077,08077,"Mesa County, Colorado",153207
0500000US08079,08079,"Mineral County, Colorado",776
0500000US08081,08081,"Moffat County, Colorado",13188
0500000US08083,08083,"Montezuma County, Colorado",26158
0500000US08085,08085,"Montrose County, Colorado",42214
0500000US08087,08087,"Morgan County, Colorado",28558
0500000US08089,08089,"Otero County, Colorado",18432
0500000US08091,08091,"Ouray County, Colorado",4833
0500000US08093,08093,"Park County, Colorado",18556
0500000US08095,08095,"Phillips County, Colorado",4286
0500000US08097,08097,"Pitkin County, Colorado",17950
0500000US08099,08099,"Prowers County, Colorado",12164
0500000US08101,08101,"Pueblo County, Colorado",167529
0500000US08103,08103,"Rio Blanco County, Colorado",6336
0500000US08105,08105,"Rio Grande County, Colorado",11250
0500000US08107,08107,"Routt County, Colorado",25733
0500000US08109,08109,"Saguache County, Colorado",6843
0500000US08111,08111,"San Juan County, Colorado",762
0500000US08113,08113,"San Miguel County, Colorado",8191
0500000US08115,08115,"Sedgwick County, Colorado",2303
0500000US08117,08117,"Summit County, Colorado",31007
0500000US08119,08119,"Teller County, Colorado",25083
0500000US08121,08121,"Washington County, Colorado",4909
0500000US08123,08123,"Weld County, Colorado",314305
0500000US08125,08125,"Yuma County, Colorado",10020
0500000US09001,09001,"Fairfield County, Connecticut",943823
0500000US09003,09003,"Hartford County, Connecticut",892697
0500000US09005,09005,"Litchfield County, Connecticut",181111
0500000US09007,09007,"Middlesex County, Connecticut",162682
0500000US09009,09009,"New Haven County, Connecticut",857620
0500000US09011,09011,"New London County, Connecticut",266784
0500000US09013,09013,"Tolland County, Connecticut",150921
0500000US09015,09015,"Windham County, Connecticut",117027
0500000US10001,10001,"Kent County, Delaware",178550
0500000US10003,10003,"New Castle County, Delaware",559335
0500000US10005,10005,"Sussex County, Delaware",229286
0500000US11001,11001,"District of Columbia, District of Columbia",702455
0500000US12001,12001,"Alachua County, Florida",269956
0500000US12003,12003,"Baker County, Florida",28355
0500000US12005,12005,"Bay County, Florida",185287
0500000US12007,12007,"Bradford County, Florida",27732
0500000US12009,12009,"Brevard County, Florida",596849
0500000US12011,12011,"Broward County, Florida",1951260
0500000US12013,12013,"Calhoun County, Florida",14587
0500000US12015,12015,"Charlotte County, Florida",184998
0500000US12017,12017,"Citrus County, Florida",147929
0500000US12019,12019,"Clay County, Florida",216072
0500000US12021,12021,"Collier County, Florida",378488
0500000US12023,12023,"Columbia County, Florida",70503
0500000US12027,12027,"DeSoto County, Florida",37489
0500000US12029,12029,"Dixie County, Florida",16700
0500000US12031,12031,"Duval County, Florida",950181
0500000US12033,12033,"Escambia County, Florida",315534
0500000US12035,12035,"Flagler County, Florida",112067
0500000US12037,12037,"Franklin County, Florida",11736
0500000US12039,12039,"Gadsden County, Florida",45894
0500000US12041,12041,"Gilchrist County, Florida",18256
0500000US12043,12043,"Glades County, Florida",13724
0500000US12045,12045,"Gulf County, Florida",16164
0500000US12047,12047,"Hamilton County, Florida",14310
0500000US12049,12049,"Hardee County, Florida",27245
0500000US12051,12051,"Hendry County, Florida",41556
0500000US12053,12053,"Hernando County, Florida",190865
0500000US12055,12055,"Highlands County, Florida",105424
0500000US12057,12057,"Hillsborough County, Florida",1436888
0500000US12059,12059,"Holmes County, Florida",19477
0500000US12061,12061,"Indian River County, Florida",157413
0500000US12063,12063,"Jackson County, Florida",48305
0500000US12065,12065,"Jefferson County, Florida",14288
0500000US12067,12067,"Lafayette County, Florida",8732
0500000US12069,12069,"Lake County, Florida",356495
0500000US12071,12071,"Lee County, Florida",754610
0500000US12073,12073,"Leon County, Florida",292502
0500000US12075,12075,"Levy County, Florida",40770
0500000US12077,12077,"Liberty County, Florida",8457
0500000US12079,12079,"Madison County, Florida",18529
0500000US12081,12081,"Manatee County, Florida",394855
0500000US12083,12083,"Marion County, Florida",359977
0500000US12085,12085,"Martin County, Florida",160912
0500000US12086,12086,"Miami-Dade County, Florida",2761581
0500000US12087,12087,"Monroe County, Florida",75027
0500000US12089,12089,"Nassau County, Florida",85832
0500000US12091,12091,"Okaloosa County, Florida",207269
0500000US12093,12093,"Okeechobee County, Florida",41537
0500000US12095,12095,"Orange County, Florida",1380645
0500000US12097,12097,"Osceola County, Florida",367990
0500000US12099,12099,"Palm Beach County, Florida",1485941
0500000US12101,12101,"Pasco County, Florida",539630
0500000US12103,12103,"Pinellas County, Florida",975280
0500000US12105,12105,"Polk County, Florida",708009
0500000US12107,12107,"Putnam County, Florida",74163
0500000US12109,12109,"St. Johns County, Florida",254261
0500000US12111,12111,"St. Lucie County, Florida",321128
0500000US12113,12113,"Santa Rosa County, Florida",179349
0500000US12115,12115,"Sarasota County, Florida",426718
0500000US12117,12117,"Seminole County, Florida",467832
0500000US12119,12119,"Sumter County, Florida",128754
0500000US12121,12121,"Suwannee County, Florida",44191
0500000US12123,12123,"Taylor County, Florida",21623
0500000US12125,12125,"Union County, Florida",14940
0500000US12127,12127,"Volusia County, Florida",547538
0500000US12129,12129,"Wakulla County, Florida",32461
0500000US12131,12131,"Walton County, Florida",71375
0500000US12133,12133,"Washington County, Florida",24880
